,item,price,url
0,capital component bpos looking to sell the following bpos currently located 1j out of jita can be moved to jita 44 or perimeter ttt by request blueprint material efficiency time efficiency price naglfar blueprint 8 0 sold naglfar blueprint 8 0 sold capital construction parts blueprint 10 20,13b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
1,capital jump drive blueprint 10 20,21b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
2,capital power generator blueprint 10 20,18b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
3,capital propulsion engine blueprint 10 20,16b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
4,capital siege array blueprint 10 20 sold capital turret hardpoint blueprint 10 20 sold capital shield emitter blueprint 10 20,17b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
5,,16b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
6,,16b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
7,capital siege array blueprint 10 20 sold capital turret hardpoint blueprint 10 20 sold capital shield emitter blueprint 10 20,17b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
8,capital sensor cluster blueprint 10 20 16b capital computer system blueprint 10 20 16b capital armor plates blueprint 10 20 17b capital capacitor battery blueprint 10 20,15b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
9,nag bpos priced at approx npc 15 capital component bpos are priced at approx npc 30 both nag bpos sold remaining cap comp bpos,145b,https://forums.eveonline.com/t/wts-capital-component-bpos/255625
10,wth t2 bpo nova javelin torpedo blueprint,156m,https://forums.eveonline.com/t/wth-t2-bpo-nova-javelin-torpedo-blueprint/255672
11,ccp aurora's frozen corpse,NA,https://forums.eveonline.com/t/wts-ccp-auroras-frozen-corpse/255800
12,vehement,NA,https://forums.eveonline.com/t/wts-vehement/255550
13,erebus hull + t2 rigs basgerin,60b,https://forums.eveonline.com/t/wts-erebus-hull-t2-rigs-in-basgerin-60b/252287
14,gotan's heavy warp disruptor,7b,https://forums.eveonline.com/t/wts-gotans-heavy-warp-disruptor-7b-in-jita/249404
15,jita gotan’s,85b,https://forums.eveonline.com/t/wts-gotans-heavy-warp-disruptor-7b-in-jita/249404
16,now 7bhere is the scram it is literally a perfect roll on the range cpu not too bad either i’m open to offers in the,4b,https://forums.eveonline.com/t/wts-gotans-heavy-warp-disruptor-7b-in-jita/249404
17,rangebump price dropped on gotanbumpbumpbumpbump scram,2b,https://forums.eveonline.com/t/wts-gotans-heavy-warp-disruptor-7b-in-jita/249404
18,,7b,https://forums.eveonline.com/t/wts-gotans-heavy-warp-disruptor-7b-in-jita/249404
19,"- avatar, aeon, hel fat-6p",NA,https://forums.eveonline.com/t/wts-avatar-aeon-hel-in-fat-6p/255321
20,avatar,NA,https://forums.eveonline.com/t/wts-avatar/255222
21,mizuro's modified large proton smartbomb starting at,17b,https://forums.eveonline.com/t/wts-mizuros-modified-large-proton-smartbomb/246470
22,komodo bpc wts komodo bpc jita 44 looking for serious offers around,350b,https://forums.eveonline.com/t/wts-komodo-bpc/250805
23,vanquisher bpc,20b,https://forums.eveonline.com/t/wts-vanquisher-bpc/255793
24,capital component bpo set wts 1 each of the following capital bpos all 1020 sensor cluster propulsion engine power generator launcher hardpoint jump drive shield emitter ship maintenance bay siege array turret hardpoint drone bay corporate hangar bay construction parts computer system capacitor battery armor plates this set includes every part needed for the construction of carriersdreads looking to sell the full set for,26b,https://forums.eveonline.com/t/wts-capital-component-bpo-set/238803
25,only selling as a full setbumpersellingsalesrevised price down,2b,https://forums.eveonline.com/t/wts-capital-component-bpo-set/238803
